session_id,user_id,start_time,end_time,page_views
1,719,5/24/2022 8:55:05,5/24/2022 9:09:55,9
2,12,9/20/2022 5:18:47,9/20/2022 5:29:22,6
3,168,6/9/2022 11:27:13,6/9/2022 11:33:33,4
4,509,8/28/2022 20:12:27,8/28/2022 20:14:27,1
5,976,9/20/2022 7:35:21,9/20/2022 7:37:25,1
6,356,8/9/2022 8:50:17,8/9/2022 8:56:34,4
7,536,3/9/2022 23:19:50,3/9/2022 23:29:28,6
8,530,6/23/2022 23:16:16,6/23/2022 23:24:36,5
9,802,3/4/2022 16:05:30,3/4/2022 16:13:14,4
10,843,3/7/2022 3:29:26,3/7/2022 3:37:38,5
11,739,9/10/2022 8:44:51,9/10/2022 8:58:15,8
12,266,9/1/2022 6:34:53,9/1/2022 6:49:30,8
13,171,6/21/2022 15:29:58,6/21/2022 15:31:36,1
14,381,6/16/2022 6:03:07,6/16/2022 6:06:05,2
15,130,6/16/2022 7:37:13,6/16/2022 7:40:06,2
16,768,5/1/2022 15:04:34,5/1/2022 15:15:49,7
17,800,5/24/2022 8:55:06,5/24/2022 8:57:44,2
18,895,5/7/2022 8:09:03,5/7/2022 8:18:47,6
19,276,4/20/2022 0:32:02,4/20/2022 0:47:15,9
20,751,9/11/2022 2:26:47,9/11/2022 2:31:25,3
21,908,6/9/2022 11:19:15,6/9/2022 11:32:04,7
22,121,5/9/2022 9:09:05,5/9/2022 9:22:57,8
23,790,6/19/2022 3:28:36,6/19/2022 3:34:37,3
24,922,3/18/2022 19:25:08,3/18/2022 19:40:52,9
25,31,4/25/2022 11:06:15,4/25/2022 11:17:37,7
26,344,9/20/2022 5:12:13,9/20/2022 5:17:32,3
27,827,7/23/2022 9:00:09,7/23/2022 9:11:35,7
28,440,8/13/2022 18:32:37,8/13/2022 18:47:20,9
29,279,4/18/2022 13:49:43,4/18/2022 13:53:22,2
30,537,7/9/2022 21:28:21,7/9/2022 21:38:17,6
31,66,9/3/2022 4:26:37,9/3/2022 4:35:31,5
32,270,3/3/2022 8:40:46,3/3/2022 8:53:11,7
33,730,8/12/2022 23:05:57,8/12/2022 23:15:20,5
34,999,7/31/2022 5:08:42,7/31/2022 5:21:41,8
35,591,3/17/2022 10:25:38,3/17/2022 10:33:57,5
36,643,6/1/2022 12:44:34,6/1/2022 12:52:05,4
37,79,4/6/2022 17:10:49,4/6/2022 17:21:12,6
38,509,8/18/2022 20:39:21,8/18/2022 20:46:18,4
39,467,3/22/2022 17:45:56,3/22/2022 17:50:18,3
40,524,9/22/2022 13:14:02,9/22/2022 13:19:16,3
41,369,5/26/2022 2:38:57,5/26/2022 2:47:38,5
42,57,5/1/2022 20:25:00,5/1/2022 20:26:31,1
43,512,4/5/2022 7:05:51,4/5/2022 7:12:38,4
44,880,7/19/2022 0:11:08,7/19/2022 0:16:44,3
45,581,4/19/2022 1:34:12,4/19/2022 1:35:54,1
46,171,4/29/2022 14:10:36,4/29/2022 14:12:49,1
47,377,3/11/2022 4:58:47,3/11/2022 5:07:39,5
48,162,3/31/2022 1:58:23,3/31/2022 1:59:44,1
49,262,9/15/2022 11:25:19,9/15/2022 11:37:10,7
50,792,3/3/2022 23:47:56,3/3/2022 23:58:09,6
51,106,7/29/2022 3:58:33,7/29/2022 4:13:03,8
52,916,6/2/2022 21:54:34,6/2/2022 22:08:48,8
53,588,4/12/2022 20:08:53,4/12/2022 20:18:04,5
54,691,6/8/2022 3:49:19,6/8/2022 3:54:25,3
55,741,5/1/2022 18:28:49,5/1/2022 18:43:18,8
56,119,6/19/2022 2:21:09,6/19/2022 2:24:22,2
57,234,4/25/2022 11:51:11,4/25/2022 11:58:03,4
58,759,6/16/2022 18:48:32,6/16/2022 18:53:43,3
59,522,7/20/2022 13:09:23,7/20/2022 13:18:35,5
60,3,9/14/2022 1:35:36,9/14/2022 1:51:11,9
61,46,7/28/2022 19:23:25,7/28/2022 19:29:41,4
62,880,9/13/2022 10:44:20,9/13/2022 10:48:10,2
63,884,6/17/2022 0:55:01,6/17/2022 1:01:14,4
64,13,8/25/2022 17:51:39,8/25/2022 18:04:50,8
65,251,6/11/2022 16:36:02,6/11/2022 16:43:31,4
66,48,4/7/2022 9:39:49,4/7/2022 9:55:18,9
67,484,5/21/2022 1:54:22,5/21/2022 2:07:03,7
68,373,4/19/2022 7:06:03,4/19/2022 7:12:17,4
69,393,4/10/2022 4:42:53,4/10/2022 4:55:50,7
70,943,7/26/2022 17:36:18,7/26/2022 17:51:14,9
71,154,4/17/2022 9:34:00,4/17/2022 9:46:18,7
72,184,4/2/2022 14:23:21,4/2/2022 14:38:01,8
73,954,9/14/2022 10:26:01,9/14/2022 10:40:44,9
74,984,7/13/2022 21:40:20,7/13/2022 21:51:50,7
75,879,7/28/2022 10:04:38,7/28/2022 10:14:26,6
76,37,3/3/2022 16:30:08,3/3/2022 16:41:14,6
77,567,7/22/2022 19:55:14,7/22/2022 20:11:23,9
78,823,4/6/2022 19:30:31,4/6/2022 19:31:54,1
79,936,3/7/2022 8:56:16,3/7/2022 9:06:08,6
80,732,8/5/2022 9:54:43,8/5/2022 10:04:25,6
81,759,8/6/2022 6:00:10,8/6/2022 6:02:24,1
82,672,9/14/2022 19:47:44,9/14/2022 20:00:46,8
83,430,8/3/2022 3:02:38,8/3/2022 3:04:51,1
84,230,4/16/2022 13:33:35,4/16/2022 13:46:20,7
85,330,5/27/2022 13:39:00,5/27/2022 13:43:35,3
86,255,4/8/2022 8:28:34,4/8/2022 8:36:44,5
87,427,3/24/2022 5:41:23,3/24/2022 5:43:27,1
88,938,9/10/2022 1:40:47,9/10/2022 1:50:17,5
89,738,8/16/2022 12:13:05,8/16/2022 12:27:30,8
90,328,6/19/2022 16:42:19,6/19/2022 16:53:01,6
91,278,5/18/2022 11:33:17,5/18/2022 11:45:03,7
92,846,5/26/2022 13:05:41,5/26/2022 13:15:12,6
93,80,8/21/2022 19:50:16,8/21/2022 19:54:49,3
94,586,4/2/2022 4:34:07,4/2/2022 4:39:32,3
95,382,6/27/2022 7:54:40,6/27/2022 8:00:51,4
96,123,4/9/2022 6:16:46,4/9/2022 6:30:25,8
97,515,3/15/2022 5:14:13,3/15/2022 5:24:15,6
98,690,7/6/2022 1:39:04,7/6/2022 1:43:45,3
99,924,9/3/2022 15:57:59,9/3/2022 16:13:46,9
100,54,9/6/2022 14:41:24,9/6/2022 14:43:34,1
101,184,8/23/2022 21:07:58,8/23/2022 21:18:21,6
102,229,4/23/2022 8:31:50,4/23/2022 8:39:05,4
103,824,8/7/2022 3:51:14,8/7/2022 4:05:12,8
104,529,8/1/2022 7:54:15,8/1/2022 8:05:56,7
105,48,8/25/2022 21:22:55,8/25/2022 21:37:28,8
106,977,6/7/2022 1:46:03,6/7/2022 1:55:48,6
107,411,6/23/2022 13:25:48,6/23/2022 13:41:14,9
108,71,8/27/2022 0:39:10,8/27/2022 0:54:28,9
