transaction_id,order_id,payment_type,amount,transaction_date
1,1,Credit Card,"$874,200",4/18/2022 13:53:22
2,2,Debit Card,"$437,100",4/6/2022 17:21:12
3,3,Credit Card,"$437,100",8/21/2022 19:54:49
4,4,PayPal,"$437,100",5/11/2022 14:26:33
5,5,Debit Card,"$874,200",9/7/2022 4:43:12
6,6,Debit Card,"$874,200",7/24/2022 23:04:44
7,7,Credit Card,"$874,200",7/22/2022 4:34:42
8,8,Debit Card,"$874,200",8/30/2022 7:11:17
9,9,PayPal,"$437,100",4/24/2022 22:17:46
10,10,PayPal,"$437,100",5/21/2022 9:22:55
11,11,Credit Card,"$437,100",8/17/2022 5:28:12
12,12,Credit Card,"$437,100",6/19/2022 14:05:19
13,13,Debit Card,"$874,200",9/19/2022 15:23:22
14,14,PayPal,"$874,200",6/24/2022 18:40:28
15,15,Debit Card,"$1,311,300",4/22/2022 1:16:11
16,16,PayPal,"$1,311,300",4/22/2022 1:06:42
17,17,PayPal,"$1,311,300",3/7/2022 7:57:20
18,18,Credit Card,"$874,200",6/2/2022 3:31:05
19,19,Debit Card,"$437,100",3/27/2022 1:19:40
20,20,PayPal,"$437,100",8/7/2022 9:54:14
21,21,Credit Card,"$437,100",3/9/2022 2:08:04
22,22,PayPal,"$874,200",3/29/2022 22:57:10
23,23,Credit Card,"$1,311,300",4/23/2022 11:04:34
24,24,Credit Card,"$437,100",4/22/2022 23:45:00
25,25,Credit Card,"$1,311,300",3/24/2022 22:18:18
26,26,Debit Card,"$1,311,300",3/5/2022 8:41:54
27,27,Credit Card,"$874,200",7/21/2022 12:13:19
28,28,Credit Card,"$874,200",5/2/2022 9:21:26
29,29,PayPal,"$437,100",4/7/2022 16:15:47
30,30,Credit Card,"$874,200",4/24/2022 11:45:56
31,31,PayPal,"$874,200",8/24/2022 13:01:04
32,32,PayPal,"$874,200",6/16/2022 15:06:35
33,33,Debit Card,"$437,100",5/30/2022 14:59:07
34,34,Credit Card,"$1,311,300",3/9/2022 15:55:18
35,35,Credit Card,"$1,311,300",3/28/2022 14:50:55
36,36,PayPal,"$437,100",5/29/2022 20:08:42
37,37,Debit Card,"$1,311,300",3/11/2022 7:32:53
38,38,Credit Card,"$1,311,300",7/7/2022 12:16:42
39,39,Debit Card,"$437,100",8/26/2022 21:05:18
